# E_PKA(eV) n_PKA0_Target0 n_PKA0_Target1 n_PKA0_Target2 n_PKA1_Target0 n_PKA1_Target1 n_PKA1_Target2 n_PKA2_Target0 n_PKA2_Target1 n_PKA2_Target2 
9.583e+05 2.342e+03 7.320e+02 3.232e+02 2.217e+03 6.940e+02 3.060e+02 1.193e+03 3.726e+02 1.647e+02
1.212e+06 2.656e+03 8.304e+02 3.665e+02 2.500e+03 7.825e+02 3.449e+02 1.285e+03 4.016e+02 1.773e+02
1.532e+06 2.982e+03 9.321e+02 4.113e+02 2.790e+03 8.732e+02 3.848e+02 1.375e+03 4.295e+02 1.895e+02
1.937e+06 3.313e+03 1.036e+03 4.569e+02 3.083e+03 9.646e+02 4.250e+02 1.460e+03 4.561e+02 2.010e+02
2.449e+06 3.645e+03 1.139e+03 5.024e+02 3.373e+03 1.055e+03 4.649e+02 1.541e+03 4.813e+02 2.120e+02
3.096e+06 3.973e+03 1.242e+03 5.474e+02 3.658e+03 1.144e+03 5.039e+02 1.617e+03 5.049e+02 2.222e+02
3.914e+06 4.293e+03 1.342e+03 5.913e+02 3.935e+03 1.231e+03 5.417e+02 1.688e+03 5.270e+02 2.317e+02
4.948e+06 4.602e+03 1.438e+03 6.335e+02 4.200e+03 1.313e+03 5.779e+02 1.754e+03 5.475e+02 2.406e+02
6.256e+06 4.898e+03 1.530e+03 6.738e+02 4.453e+03 1.392e+03 6.123e+02 1.815e+03 5.666e+02 2.487e+02
7.910e+06 5.179e+03 1.618e+03 7.120e+02 4.694e+03 1.466e+03 6.448e+02 1.871e+03 5.841e+02 2.562e+02
1.000e+07 5.445e+03 1.700e+03 7.480e+02 4.922e+03 1.536e+03 6.751e+02 1.923e+03 6.002e+02 2.631e+02
